蜜待鼯怎么养，让小蜜亲人的八连击。新手看,蜜待鼯怎么养如何让小蜜快速上手，小编有妙招！！  相信每一位玩家在领养蜜袋鼯前，都憧憬着自己家的蜜袋鼯也像其他玩家的小蜜一样，可以在主人身上寸步不离，在远处一伸手就飞到主人身边呢？  蜜待鼯怎么养？对于新玩家来说，首先要明确，并不是接收越小的蜜袋鼯就越亲人，这只是某些人为了一己私欲的说法！过小的蜜袋鼯，由于提前就要断掉母乳，所以会营养跟不上，没有经验的新手玩家容易导致小蜜挑食，挑食会影响小蜜的性格。因此，接收出袋两个月的小蜜最佳，不用担心小蜜会不亲人，成年的蜜袋鼯一样可以很亲人，重点在于主人花的心思。 在小蜜来到身边之前，准备好洗干净又贴身睡过的袜子若干，如果已经接到小蜜了，现在睡也不晚~将袜子放在笼子中挂起，如果温度较低，可以将袜子放在准备好的睡袋中，让小蜜初步熟悉主人的气味。  怎样让小蜜亲人在晚上，小蜜比较活跃，或者刚来害怕时，小蜜都会尝试探知袜子的气味，小蜜累了会自然的爬到睡袋中或袜子中休息，但为了保证安全，小蜜会在睡袋或袜子上留点气味，所以刚开始要勤换，时刻让小蜜闻到的是主人的味道。 在小蜜知道有主人的存在后，每次给小蜜喂食尽量用手指喂食，用手指沾些食物给小蜜；或在睡袋中放上一些小蜜能吃的食物，避免小蜜嘎嘎。(具体食物按照蜜袋鼯年龄所能吃的不同食材而定）  在白天，如何让小蜜亲人，蜜袋鼯睡觉的时候会容易放松警惕，是对玩家最有利的时机，轻轻将袜子或睡袋拿出，握在手里，如果小蜜被惊醒，不要怕，用袜子或睡袋捂住小蜜，让小蜜在其中的空隙减小，一段时间会帮助蜜袋鼯平静下来，并且让小蜜知道，反抗是没用的。熟睡的蜜袋鼯身边充斥主人的味道，会让蜜袋鼯下意识里认为这个味道是很安全的，可以让蜜袋鼯养成依赖性。  当握着袜子或睡袋小蜜不会太反感时主人就要得寸进尺了，在小蜜熟睡时，慢慢将手伸进去，如果小蜜没有反应，就要一点点从小蜜背后把手放进去，这个过程可能需要一点点尝试才能成功。 在蜜袋鼯熟悉了笼子的环境后，主人可以将手慢慢放在笼子门口靠里位置，如果蜜袋鼯嘎嘎或有攻击态势，不要害怕，手不要动，也许小蜜会上来咬几下，如果是出袋两个月左右的不会咬破的，请放心~但小蜜发现咬不起作用，就会慢慢试探性接触，嗅一嗅。当小蜜不再害怕时就可以动一动和小蜜互动了！  当小蜜熟悉主人的存在，有些许依赖性时，将熟睡的小蜜从睡袋中拿出，将睡袋收起来，将蜜袋鼯放在衣服里，开始小蜜会慌张，也许会轻咬几下，一定要忍住，小蜜会自己找主人衣服里的一个可以稳稳待着的地方睡觉。几次之后，可以将小蜜贴肉放在身上，抛弃外出袋等用品了，将小蜜放在袖子、胸口、肩膀等地方，当小蜜不再害怕时，就会对主人有很强的依赖性了。  主人一定不要着急，每只蜜的性格不同，所生长的环境也不同，存在差别很正常的，只要加以时日，小蜜一定会对主人亲近的，大家一起努力吧~
小猫横穿马路钻进车底 民警趴地温柔“谈判”,
兔子吃的苜蓿草和提摩西草还有花语?,兔主人都在纠结兔宝宝今天是吃苜蓿草还是提摩西草，但你可能不知道，苜蓿草和提摩西草需要还有花语？你们不是草吗？怎么会有的花语？  不是骗你们，我一搜，发现居然真的有。  提木西草的花语是计划。 凡是受到这种花祝福而生的人，对于自己的生活总是有周全的规划，并且为自己定下目标，然后朝着理想努力奋斗，属脚踏实地型。感情方面，也许会以相亲的方式找到终生伴侣。  对兔宝宝简单的解读：我脚踏实地的吃，每天吃胖，铲屎官别忘了给我找一个伴侣哟。  而苜蓿草的花语是幸福。但你并不知道，四叶草其实就是说的苜蓿草哟~  传说中的四叶草是夏娃从天国伊甸园带到大地上，学名苜蓿草，是多年生草本植物。一般只有三片小叶子，叶形呈心形状，叶心较深色的部分亦是心形。 One leaf for fame，（一叶带来荣誉） One leaf for wealth，（一叶带来财富） One for a faithfully lover，（一叶带来爱情） One for glorious health，（一叶带来健康） All in this four-leafed clover.（四叶草啊！你拥有了这四种能力.） 喃喃念完上述四叶草的颂曲后，用右手的两只手指握着四叶草，慢慢的转动四叶草，许下你的愿望。  想到兔兔吃了我那么多苜蓿草，我是不是可以对着兔兔神明许愿啦？ （兔社会：有什么愿望就跟我说吧，我一定满足你）  想了解更多关于兔兔资讯，请关注短尾星球订阅号，还有短尾星球微薄哟，你身边专业的养兔人。
主人目睹守宫尬舞拍下照片，外国PS大神纷纷恶搞完全无违和感啊！,前几天，日本一名网友回家后，发现自家养的宠物守宫（壁虎的一种）状态不对。它不像平时一样乖乖趴着，而是后腿站立，前爪伸开，摆好姿势就像在跳舞。主人忍不住发笑，拍摄下来分享，网友们都笑喷了~  才华横溢的网友们开始PS修图，帅气的守宫是最好的素材~ 银河护卫队！  和史迪奇一起跳舞！  灯光、音乐，全都准备好，一代舞王出现了。  保持这个姿势其实有点累，但为了帅气，只能拼了！  不好意思，本守宫就是这么帅。  网友们太有才华了。  穿越进入漫画中，毫无违和感。   halokitPET 看电视不如尬舞！  台下的朋友们，让我看到你们的双手。  一代巨星守宫登场！  跳得很陶醉嘛～
做一个有态度的表情包！,“做一只有态度的猪” 不如...我们生个足球队吧~  .......................................................................................................................................................................................................... 今天全是可爱的猪猪表情包！ 我们发誓要做精致的猪猪女孩！  ...............................................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................  ...........................................................................................
它是世界最小的驴，长得像小羊羔，喜欢做“看门狗”,看，这是什么？也许你会说，一只小羊羔吧？没错，看起来真的很像小羊羔，可是，它却不是小羊羔，而是一头驴。什么，这是一头驴？虽说驴不能说驴高马大，可是，驴也有驴的高度好吗？但是，我要告诉你，这是世界上最小的驴子，它叫奥蒂（Ottie）只有19英寸（约合48厘米），而且，常被人看做是羊羔。而且，它还是一只“看门狗”。  的确，它有着世界最矮的身高――它比目前世界最小驴的吉尼斯世界纪录保持者还要矮6英寸（约为15公分）。可是，世界最矮驴的官方头衔依然不在它的头上。原因无他，因为目前它还没有成年，它只有9个月大。（图为它与拥有正常身高的同类的对比，它也是小侏儒一个）  它的主人是英国剑桥郡萨特里特（Sawtry）的48岁的老板谢里尔・格里菲思（CherylGriffiths）。对于这头小驴，她说，“奥蒂非常可爱，是一只宠物。我的妈妈来看过后，想要把它带走。我觉得，它就像一条看门狗，如果有人在家门口走动，它就会叫。”  格里菲思女士介绍说：“我对它做了大量的研究。驴子的第一年，会长到身高的90％。但是我知道它不会再长了，如今它比吉尼斯世界纪录保持者矮6英寸。”现如今世界最小驴子的吉尼斯世界纪录是25.29英寸高（约合64公分），这是2011年7月26日，美国佛罗里达州的最佳朋友农场（BestFriendsFarm）的10岁驴子KneeHi所创造的。  奥蒂如今有12匹小马作伴，可是，它的主人格里菲思女士却希望给它找到“女朋友”。她说：“我希望能为奥蒂找到女朋友，这样它就不会孤单。但是它现在还太小，这得等到它三岁才能做那些事。我也希望与身高刚刚超过一米的演员沃里克・戴维斯（WarwickDavies）取得联系。我知道他住在附近，我觉得他愿意见到奥蒂。”（图为格里菲思女士与奥蒂在一起）  格里菲思女士对迷你宠物的喜爱，开始于他的背部受伤，打那之后她不能再骑马了。她说：“用迷你宠物也可做同样的事情，但我不会骑它们。这太棒了，它们也可以表演盛装舞步。”（图为进入房间后的奥蒂，它是真的很小）  一旦小奥蒂长大了，它的主人就会带它参加比赛，参加节目以及宠物表演。格里菲思女士补充说：“奥蒂将会以敏捷著称，它动作很好，不过它需要训练。我也想带它去看电影和宠物表演，这样人们就可以来看到它了。”
网恋吗？我肤白貌美大长腿....,“做一只有态度的猪” 网恋吗？我唇红齿白大眼睛~   这几天， 各地方都管理的比较严格， 一妹子捧着一杯奶茶过安检， 安检人员指着奶茶对妹子说：  妹子：  然后――  安检员：  妹子：  ？？？ 其实？和1可以说是非常常用了， 一般回复？   回复？？   回复？？？   回复？？？？？？   回复1   回复11   回复111   回复111111， 这个可就厉害了~     最后， 献给大家一些可爱的壁纸~          妖子爱你们哟~
玩家蜜待鼯跟商家蜜待鼯的区别，商家蜜待鼯介绍。,首先先说蜜待鼯国内市场供应不过来，大部分都是商家蜜，如果说你要买玩家蜜去商家那里叭叭叭，不亲人怎么怎么样的，哈哈哈，请滚，滚一边洗脑去！！先说商家蜜。  商家蜜就是商家卖的蜜，商家卖的蜜也是养殖的，不是野生抓的，且市场上卖的蜜待鼯大部分都是两个月以下的小蜜，当然也有不良商家卖大的的，但是不能全咬死，现在听见商蜜就感觉刺耳，扎心，好像卖蜜待鼯就是在涂炭生灵一样。。先说蜜待鼯到家为什么有的不亲人。1.大量做繁殖的蜜待鼯厂家没有时间去挨着每天抓，然后快递到家，新环境新主人害怕正常。玩家蜜快递两天到新家也会害怕。这是正常现象。说养了好久了就是不上手，只能说新主人太怂，都不敢抓他，他叫一下你能吓掉魂，你比他还害怕。怎么上手！！根据观察从商家手里带走的小蜜基本上都是可以上手，方法是一样的，小蜜也是一样的所以说不上手自己找原因。瞎巴巴给人洗脑你要拯救社会啊，给点建议的了，巴巴起来没完，亲身感受过这样的傻吊。。   生活环境食物也不比玩家差。卖也是个人爱好，很多也是从玩家变成商家。以上呢就是让大家更加了解下商家蜜，不要歧视商家蜜，多多支持商家蜜，购买商家蜜。哈哈哈哈，也有人会从商家那里进货过来当做玩家蜜卖，卖高价。滋~很多，白花冤枉钱。 商家蜜也能上手，哈哈哈哈。  再说玩家蜜待鼯，都是优点，没有不好。就俩字 完美 跑飞。就贵点。。简单说下吧。 玩家养蜜袋鼯出自内心的喜爱，所以对待蜜袋鼯的方式会特别有爱心，使蜜袋鼯有更多的安全感，不会暴力对待蜜袋鼯；玩家蜜袋鼯安全感较强，所以性格会更好一些，因为蜜袋鼯从小没有受过惊吓，饲养环境多数在父母身边，玩家不会因为着急买卖而提前让幼蜜离开父母，因此更好上手。  以上介绍了，玩家蜜待鼯跟商家蜜待鼯的区别。记得点赞！！
日本大眼飞鼠如何饲养，大眼睛的滑翔专家。,最近是不是经常看到这样一个小萌物，眼睛大的好像是要爆出来，活动起来绷紧皮翼，小飞鼠最远的滑翔距离可以达到100米远。很多人也当做了家庭中饲养的宠物。下面来介绍下大眼飞鼠的饲养  日本大眼飞鼠是松鼠科的动物，常在树上攀爬，或在树枝间滑翔。分布于欧亚大陆的温带至寒温带的针叶林或针阔混交林。日本小鼯鼠属于杂食性的动物，喜食植物。作为宠物饲养可以考虑喂食一些水果以及松鼠饲料。偶尔也要喂食一些动物性的食物。 大眼飞鼠的繁殖 日本小鼯鼠的繁殖技术要点在引进动物时，必须挑选体质健壮的作为繁殖用，雌雄比例可按3～4：1。把体弱的单独挑出，尤其体弱的雄性，可能会受其它雄性的攻击。在繁殖期可给些动物性食物，如熟鸡蛋、面包等，看它们是否喜欢。  小飞鼠利用长而多毛的尾巴作为控制滑翔的方向。以松子、浆果、嫩芽为食，偶尔吃鸟蛋和雏鸟，秋末有储存食物过冬的习性。它们不冬眠，但在冬天有时会连续睡上几天。  家庭饲养的大眼飞鼠一定要准备较大的活动空间，大眼飞鼠性子急，狭小的空间，过度的抚摸，错误的饮食都会引起小飞鼠的暴毙。
雪地松鼠幼崽多少钱一只，雪地松鼠幼崽饲养方法。,这个来自天生脚下的精灵身价不菲，下面来介绍下雪地松鼠幼崽的价格，往年雪地松鼠多少钱一只以及饲养雪地松鼠应该注意的事项方法。  首先介绍下雪地松鼠幼崽的价格，大家对雪地的价格有些模糊，因为幼崽跟大鼠的价格差距很大。根据往年雪地幼崽的卖价头窝价格在两千左右，二窝幼崽的价格在一千五左右。这里说的是大部分商家，不代表全部，也有卖一千二三的，遇到了就是捡个便宜，网上购买，别被骗了就行。两千左右的鼠就是市场价，有很多傻逼玩意不懂装懂，什么三四百块钱就能拿到的篮子，纯属装逼，你他娘的到是买啊。键盘侠瞎叭叭。  雪地松鼠四肢全年橘红色，耳毛橘红色。雪地松鼠，一年换毛两季。成年体型长25cm左右，尾长可以贴背到颈部，有些可以达头部。雪地松鼠的作息时间：天明而起，天黑而息。早晚觅食货源，中午基本上在树上隐蔽处休息。每年繁殖最多2胎，每窝4～6只。雪地松鼠夏季毛色橘红或者橘黄色，全身有少量的灰白毛色。夏季耳毛可能没有或者稀疏。冬季灰白色全身，四肢跟耳朵是橘红色，特别浓密 耳毛有的可以长达10cm，每年9-10月份以后开始长耳毛。南方地区可能会延迟，一般低于10度会换毛。  下面介绍下雪地松鼠饲养方法。 45天以下：羊奶粉（婴儿1阶段）或者原味的酸奶，不推荐安慕希啊莫斯利安啊这种保质期很长的，推荐那种八连杯，买好了放冰箱里，每天开一杯，喂之前温一下，和人的体温差不多再喂，喂凉的会拉肚子的。 45天到60天：可以在奶里再多加一点点的坚果沫，虽说多加点，也只是适当多一点点而已。在松鼠宝宝要接近60天的时候，你就可以每天给它一颗瓜子让它试着剥了。 60天以上：差不多会自己进食，吃的是瓜子，松子，核桃，巴达木，榛子等等。坚果都要是生的，（切记：板栗、花生、杏仁、玉米少喂！）、  雪地松鼠从外到内都可以看到其经济价值，它的毛可以制笔、制刷，肉还可以食用，皮可以制裘原料。最重要的是雪地松鼠长的非常清秀，性格比较温顺乖巧，很多人愿意饲养它为宠物。
这只荷兰猪有点彪,（猪眼看世界第1期） 各位宠迷，乃们好！这段时间，小豚准备进修深造去了。所以呐，这段时间的延续平台内容的这杆大旗，就由我来扛起。力不从心之处，还望海涵。  话说，今天一大早就被翠花娇滴滴的叱叫声吵醒，睁着惺忪的睡眼，没有理会。最近翠花被我惯坏了，特别喜欢闹腾。过了一会，她仍旧再叫，我突然清醒过来，飞跃起身去看看到底怎么了。  以往都是小豚管理他们的生活起居，这不小豚自己作，要去“改造”嘛。没有闲暇时间顾及他们，这个重担就悄悄落在我小贝的肩上了。  我平时只是喜欢看看猪猪呆萌的样子，偶尔用美食犒劳犒劳他们，其他的都是一片空白。对于突如其来的重担，我和广大新手猪油一样，需要慢慢学习和摸索。我走进翠花的猪笼，她更是满含热泪，叫的更起劲了。仔细检查一遍，原来她水壶里没水了，待我给她填满水后，周围便突然安静了，只听见她急急匆匆喝水的声音。我才想起也该给老大、老二加点水了吧。再看看旁边的老大和老二，特别的安静，很少听到他们的叫声，我不是很细心的人，若不是翠花的闹腾，可能我都忘了他们。  平时回家都会听到翠花喜悦的呼唤声，再看看她旁边的两位“绅士”，特别淡定，宠辱不惊。看到他们天天吃猪粮，每每有空都会带一些他们可以吃的蔬菜，有时往往带回来就忘了给他们，翠花的叫声就提醒我该给他们美食了，从而导致现在只要听到切菜和塑料袋的声音，翠花就急切的叫个不停。  每次给他们几个分享美食时，老大和老二才会体现出他们的积极性，我就会说你俩是沾了翠花的光，若不是翠花爱叫，我哪会想起你们。  好了，今天就絮叨到这里。小豚的回归还需要很长一段时间，小贝的经验不足，以后会和大家分享很多身边趣事，希望大家多多支持，多多鼓励。   关注同名公号，了解更多精彩内容哦~
那些年为荷兰猪崩溃的瞬间,（猪眼看世界第3期） 小贝我平日里爱看剧，但不怎么追剧。主要还是追剧更新太慢，根本不够看。那种让人欲罢不能，百爪挠心，直吊人胃口的感觉实在不好受。  最近朋友圈被《我的前半生》各种影评文章刷屏，忍不住点开最新一集看看，结果就一发而不可收拾了，从此也就成了这部剧的迷妹，深深的被子君的成长所吸引。  忍受着等待更新的煎熬，查找各种资源就想多了解一些，她下一集怎么样了？当看到子君面临离婚时的那种崩溃，不禁让我想起和猪猪那次重逢时的崩溃情景。  小豚刚开始养猪的时候，没有魔片围栏。平时大部分时间猪猪都是被小豚关在笼子里，有空的时候才让他们在屋里自由活动。  然鹅，那一年……  记得当时是过年长假要回我家，山高路远，猪猪是没条件带回家了。思考再三，小豚在网上买了几个大食盒和大水壶，以提供他们三个在长假期间足够的食物和水。由于猪笼比较小，小豚干脆就把笼门都打开，把食盒和水安装在屋里，分好几个地方放置，这才安心踏上回家的路。  结束了漫长的假期，回来的路上，我是一路的不安，不知道那几个货把家里糟蹋成啥样了？！看看小豚，他也是一脸的不安，我安慰他说，“别操心，三个小猪还闹翻不了天。” 小豚一脸凝重的说，“谁操心那个，我是担心他们吃的够不，别给饿死了！”  好吧，你又赢了。但经小豚这么一说，我也是开始担忧起来。两人迫不及待的回到出租屋。 虽然在开门前我就已经设想了成百上千种惨烈的画面，但当小豚打开门的那一刻，我还是被震惊到了。  屋里简直就是狼藉一片，满地都是屎黄金，就连灯光也是那种屎黄色，空气中充斥着让人窒息的腥臊恶臭，一进屋连下脚的地儿都没有。  就在心中的怒气飚增爆棚之际，小豚倒是大叫了起来，“我的猪啦，猪咋不见了……” 我一回神，扫视了一下房间，除了满地的脏乱确实没有半个猪影子。到这时，我也就没发脾气的心情了，帮小豚到处翻找猪猪。床上，床下，各个犄角旮旯都找遍了，还是没找到。  小豚歇了歇说，“都累了，先别找了，说不定是藏哪儿了，先收拾一下屋子再说吧。” 虽说屋子里很脏，但收拾起来倒也轻松，毕竟猪猪的屎是干粒状的。屋子收拾差不多了，我把床单被罩拆下来，准备换上干净的。 一打开布衣柜，眼前的场景只叫人心塞，扎心还崩溃。这几个货竟然躲在了这里，只见布衣柜的下层铺满厚厚的一层屎尿混合物，里面的衣物也都散发着不可言说的味道。  我弯腰再打开装衣服的纸袋，这几货竟然欢天喜地的从里面溜了出来，一个个活蹦乱跳的劲，让人看着气不打一处来。再看看那倒霉的布衣柜，里面有的衣服真的是没法穿了，包包被它们啃得面目全非。看来在猪猪眼里布衣柜的小名就叫猪窝。  小豚见到他猪宝不光没事还活的这么滋润，自然是喜上眉梢。而那时我恨不得当场架起油锅连人带猪炸个外焦里嫩，连皮带骨一起嚼。但我就是我，不一样大度，姐就这么忍过去……  就因为这一忍，接下来我洗洗涮涮了一星期才算把家里收拾干净。 事后想想这事还真是怨不得任何人，猪猪没法带回家只能留守，留守就得保证足够的饮食，这势必导致猪猪到处乱跑乱拉。而且猪猪天生喜欢往暗处藏，布衣柜理所当然的成为了他们的理想猪窝。 不知道你有没有为猪猪又气又无奈的时候，留言说说吧。    关注同名公号，了解更多精彩内容哦~
为了见女神，这只荷兰猪也是拼了,（猪眼看世界第6期） 前几天好姐妹发来一张鼠鼠骑机车的图片，说让我赶紧给家里二胖也买一辆同款机车。哈哈，是下面这张啦！好帅，有没有？  一想到二胖，这货要是真给他买一辆，把他放到车上，可能直接就吓瘫了吧。  因为平时根本没时间训练他们，所以我们之间只是美食供给关系。每次给他们喂蔬菜时，如果他们在笼子外面绝对会第一时间跑回笼子里，再把脑袋从笼子顶探出头来问你要吃的（平时为了方便观察，小豚把笼子顶都给掀起来了）。在他们心里笼子才是最有安全感的归宿……作为任职两年铲屎官的我表示内心很受伤，我竟然还没个笼子有魅力。  这几天下班回来，发现了一件神奇的事情。二胖竟然神奇的跑到翠花的笼子里了，还霸占了翠花的小木屋，直接把人家公举逼到食盒边躺着。看到我们回来了，翠花就开始幽怨的诉苦，显然她对这个不知怜香惜玉的二愣子很是不满。  可是两个笼子的门明明没有打开呀，况且他们中间还隔个装草的笼子，二胖是咋过去的？  再看看二胖躺在小木屋那一副悠然自得的样子，仿佛屁股生根没有一点点要离开的意思。往日高高在上的翠花女王，面对现在这个无赖的二胖也胆怯起来，只得给他腾地，离他远远的。  我直接把这个入侵者从木屋里给拽出来，丢回他自己的窝里，好好地训斥了一番。我进屋换衣服时，外面就传来翠花不安的求救声。等我出来的时候，二胖这货竟然又进了人家的笼子。我二话没说，上去就一把又给拽回了他自己的窝，真是个不解风情，厚脸皮的家伙。人家明明不愿意，你还一次次的往上凑，试问有意思吗？鄙视！  可就在我转身的一瞬间，那货竟然出现在草笼子上，看那架势马上要往翠花的笼子里跳了。说是迟那时快，我两步上去，死拉硬拽僵持了好一会儿才把二胖给拎回去。  这时我才想明白二胖子是怎么越狱到翠花笼子里的。这货是先从自己笼子跳到装草的笼子上，再从草笼跳入翠花的笼子。你这是翅膀硬了，牛上天了！平时一副抱起来就吓的石化的样子，现在翻墙越狱这么高风险，高难度倒是不怕了。套路挺深，心机很重呀！  不过这笼盖掀开不是一天两天了，从来没见过他越狱。平时一点点高的地方他都懒得动，也不敢动。可能是上次因为他不愿吃东西，把他放出来和翠花见了一面之后，这家伙就有了一颗追求诗和远方美女的心。现在竟然趁我们不在家越狱去找女神。可是你去了女神笼子，不给人家卑躬屈膝反倒是占了人家的窝。一看就是没得到女神认可后的报复心里，情商堪忧啊！  自从二胖一跳成功之后，现在是越狱成瘾了。每次我喂完东西，不一会儿人家就跳出来了去和女神共进美餐。  这段时间竟成了我和二胖斗智斗勇的日常，为了见女神二胖子也真是拼了。爱情真是一个好神奇的东西，连这个平时忻壤撩鹊亩胖，也会为了翠花变得这么勇敢。  每次把二胖拽回来的时候，我就在想，此时的二胖心里得有多恨我呀。感觉我现在成了破坏一段旷世绝恋的第三者，可是我又有什么办法呢？为了他们的健康成长，我甘愿让你们恨我吧！    关注同名公号，了解更多精彩内容哦~
